jobid,type,param,tasks,nodes,mem,time_sec,cpu_percent
8022136,cores,tasks2_run1_8022136,,,,0:01.88,5
8022242,cores,tasks2_run1_8022242,2,1,512,0:00.27,33
8022137,cores,tasks2_run2_8022137,,,,0:01.89,5
8022243,cores,tasks2_run2_8022243,2,1,512,0:00.29,28
8022138,cores,tasks2_run3_8022138,,,,0:01.88,5
8022244,cores,tasks2_run3_8022244,2,1,512,0:00.31,29
8022139,cores,tasks2_run4_8022139,,,,0:01.73,5
8022245,cores,tasks2_run4_8022245,2,1,512,0:00.31,29
8022140,cores,tasks2_run5_8022140,,,,0:01.88,5
8022246,cores,tasks2_run5_8022246,2,1,512,0:00.31,29
8022141,cores,tasks8_run1_8022141,,,,0:00.33,25
8022247,cores,tasks8_run1_8022247,8,1,512,0:00.34,28
8022142,cores,tasks8_run2_8022142,,,,0:00.35,23
8022248,cores,tasks8_run2_8022248,8,1,512,0:00.32,25
8022143,cores,tasks8_run3_8022143,,,,0:00.31,28
8022249,cores,tasks8_run3_8022249,8,1,512,0:00.32,25
8022144,cores,tasks8_run4_8022144,,,,0:00.32,26
8022250,cores,tasks8_run4_8022250,8,1,512,0:00.28,31
8022145,cores,tasks8_run5_8022145,,,,0:02.08,4
8022251,cores,tasks8_run5_8022251,8,1,512,0:00.30,28
8022151,mem,mem128M_run1_8022151,,,,0:00.32,26
8022257,mem,mem128M_run1_8022257,8,1,128,0:00.34,24
8022152,mem,mem128M_run2_8022152,,,,0:00.33,25
8022258,mem,mem128M_run2_8022258,8,1,128,0:00.33,25
8022153,mem,mem128M_run3_8022153,,,,0:00.30,28
8022259,mem,mem128M_run3_8022259,8,1,128,0:00.35,23
8022154,mem,mem128M_run4_8022154,,,,0:00.34,24
8022260,mem,mem128M_run4_8022260,8,1,128,0:00.36,22
8022155,mem,mem128M_run5_8022155,,,,0:00.30,28
8022261,mem,mem128M_run5_8022261,8,1,128,0:00.31,27
8022156,mem,mem1G_run1_8022156,,,,0:00.31,31
8022262,mem,mem1G_run1_8022262,8,1,1024,0:00.34,29
8022157,mem,mem1G_run2_8022157,,,,0:00.32,28
8022263,mem,mem1G_run2_8022263,8,1,1024,0:00.35,24
8022158,mem,mem1G_run3_8022158,,,,0:00.33,24
8022264,mem,mem1G_run3_8022264,8,1,1024,0:00.35,23
8022159,mem,mem1G_run4_8022159,,,,0:00.34,26
8022265,mem,mem1G_run4_8022265,8,1,1024,0:01.77,5
8022160,mem,mem1G_run5_8022160,,,,0:00.34,28
8022266,mem,mem1G_run5_8022266,8,1,1024,0:01.74,5
8022161,mem,mem3G_run1_8022161,,,,0:00.44,20
8022267,mem,mem3G_run1_8022267,8,1,3072,0:01.87,4
8022162,mem,mem3G_run2_8022162,,,,0:00.34,25
8022268,mem,mem3G_run2_8022268,8,1,3072,0:01.87,4
8022163,mem,mem3G_run3_8022163,,,,0:00.34,24
8022269,mem,mem3G_run3_8022269,8,1,3072,0:01.87,4
8022164,mem,mem3G_run4_8022164,,,,0:00.34,24
8022270,mem,mem3G_run4_8022270,8,1,3072,0:01.88,4
8022165,mem,mem3G_run5_8022165,,,,0:00.51,17
8022271,mem,mem3G_run5_8022271,8,1,3072,0:01.79,4
8022166,nodes,nodes2_run1_8022166,,,,0:00.30,29
8022272,nodes,nodes2_run1_8022272,8,2,512,0:01.64,6
8022167,nodes,nodes2_run2_8022167,,,,0:00.42,21
8022273,nodes,nodes2_run2_8022273,8,2,512,0:01.64,6
8022168,nodes,nodes2_run3_8022168,,,,0:00.35,24
8022274,nodes,nodes2_run3_8022274,8,2,512,0:01.46,7
8022169,nodes,nodes2_run4_8022169,,,,0:00.31,29
8022275,nodes,nodes2_run4_8022275,8,2,512,0:01.44,7
8022170,nodes,nodes2_run5_8022170,,,,0:00.30,29
8022276,nodes,nodes2_run5_8022276,8,2,512,0:01.52,6
8022171,nodes,nodes8_run1_8022171,,,,0:00.49,22
8022277,nodes,nodes8_run1_8022277,32,8,512,0:01.93,5
8022172,nodes,nodes8_run2_8022172,,,,0:00.35,27
8022278,nodes,nodes8_run2_8022278,32,8,512,0:02.10,4
8022173,nodes,nodes8_run3_8022173,,,,0:00.42,21
8022279,nodes,nodes8_run3_8022279,32,8,512,0:02.02,4
8022174,nodes,nodes8_run4_8022174,,,,0:00.36,28
8022280,nodes,nodes8_run4_8022280,32,8,512,0:02.09,4
8022175,nodes,nodes8_run5_8022175,,,,0:00.36,31
8022281,nodes,nodes8_run5_8022281,32,8,512,0:01.86,5
